name,year,geek_rating,av_rating,voters
Gloomhaven,2017,8.584,8.85,31693
Pandemic Legacy: Season 1,2015,8.471,8.62,34930
Terraforming Mars,2016,8.269,8.42,48957
Through the Ages: A New Story of Civilization,2015,8.236,8.49,18416
Brass: Birmingham,2018,8.214,8.63,10313
Twilight Imperium (Fourth Edition),2017,8.174,8.69,9543
Twilight Struggle,2005,8.16,8.31,36782
Star Wars: Rebellion,2016,8.156,8.43,19133
Gaia Project,2017,8.139,8.5,12176
Scythe,2016,8.098,8.26,46967
Great Western Trail,2016,8.097,8.28,23335
War of the Ring (Second Edition),2012,8.064,8.45,11267
Spirit Island,2017,8.032,8.32,16521
Terra Mystica,2012,8.021,8.17,35101
The Castles of Burgundy,2011,8.011,8.13,40397
7 Wonders Duel,2015,7.98,8.11,47485
The 7th Continent,2017,7.969,8.35,12981
Concordia,2013,7.945,8.11,23089
Brass: Lancashire,2007,7.937,8.15,16756
Viticulture Essential Edition,2015,7.922,8.11,21888
Arkham Horror: The Card Game,2016,7.917,8.19,21346
Puerto Rico,2002,7.901,8.02,58991
A Feast for Odin,2016,7.896,8.18,13644
Mage Knight Board Game,2011,7.891,8.1,25202
Orléans,2014,7.882,8.08,18253
Wingspan,2019,7.881,8.11,22069
Caverna: The Cave Farmers,2013,7.878,8.05,25508
Food Chain Magnate,2015,7.869,8.17,11501
Agricola,2007,7.867,7.97,59613
Mansions of Madness: Second Edition,2016,7.855,8.11,19938
Blood Rage,2015,7.825,8.0,28892
Kingdom Death: Monster,2015,7.818,8.74,6668
Pandemic Legacy: Season 2,2017,7.812,8.2,9087
Power Grid,2004,7.786,7.88,52481
Mechs vs. Minions,2016,7.782,8.09,12326
Through the Ages: A Story of Civilization,2006,7.773,7.97,17318
Star Wars: Imperial Assault,2014,7.773,8.05,18232
Tzolk'in: The Mayan Calendar,2012,7.77,7.92,26760
Root,2018,7.766,8.06,14213
Eclipse,2011,7.748,7.92,24909
Azul,2017,7.737,7.87,38680
Le Havre,2008,7.737,7.88,24339
Nemesis,2018,7.728,8.49,6487
Clans of Caledonia,2017,7.723,8.03,11320
The Voyages of Marco Polo,2015,7.719,7.92,17277
Robinson Crusoe: Adventures on the Cursed Island,2012,7.714,7.88,29541
Android: Netrunner,2012,7.692,7.88,25307
Anachrony,2017,7.684,8.09,8890
7 Wonders,2010,7.673,7.77,74904
Race for the Galaxy,2007,7.662,7.76,42738
Keyflower,2012,7.655,7.84,17083
Dominant Species,2010,7.648,7.85,16697
Fields of Arle,2014,7.645,8.1,6661
Caylus,2005,7.641,7.8,25472
Lords of Waterdeep,2012,7.635,7.76,41483
The Gallerist,2015,7.628,8.02,7980
Five Tribes,2014,7.628,7.77,28236
Clank!: A Deck-Building Adventure,2016,7.621,7.81,21514
Twilight Imperium (Third Edition),2005,7.618,7.86,17685
El Grande,1995,7.612,7.76,22190
Rising Sun,2018,7.61,7.94,12959
Eldritch Horror,2013,7.606,7.83,25948
Mombasa,2015,7.596,7.91,9668
Dominion: Intrigue,2009,7.592,7.73,28332
Battlestar Galactica: The Board Game,2008,7.583,7.74,31129
Codenames,2015,7.581,7.67,57651
Lisboa,2017,7.58,8.18,5169
Everdell,2018,7.577,8.01,8509
Patchwork,2014,7.577,7.69,38244
Teotihuacan: City of Gods,2018,7.575,7.96,8366
Troyes,2010,7.574,7.76,16394
Crokinole,1876,7.572,7.83,10435
Too Many Bones,2017,7.567,8.48,3926
Aeon's End,2016,7.56,8.04,7175
Russian Railroads,2013,7.558,7.79,13133
Roll for the Galaxy,2014,7.556,7.7,23248
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,7.555,7.77,14856
Tigris & Euphrates,1997,7.548,7.7,23990
Architects of the West Kingdom,2018,7.545,7.86,10495
Trajan,2011,7.545,7.77,13512
Agricola (Revised Edition),2016,7.538,8.06,6418
Underwater Cities,2018,7.535,8.1,5273
Dominion,2008,7.529,7.63,71960
Pandemic,2008,7.526,7.62,90036
Raiders of the North Sea,2015,7.522,7.81,11624
Pandemic: Iberia,2016,7.511,7.95,7029
Kemet,2012,7.508,7.73,14572
Star Wars: X-Wing Miniatures Game,2012,7.508,7.72,21741
Yokohama,2016,7.49,7.89,7109
Dead of Winter: A Crossroads Game,2014,7.486,7.63,35637
T.I.M.E Stories,2015,7.486,7.67,21154
Grand Austria Hotel,2015,7.484,7.79,9914
Champions of Midgard,2015,7.481,7.79,10637
Stone Age,2008,7.48,7.59,40721
Forbidden Stars,2015,7.479,7.96,6637
Descent: Journeys in the Dark (Second Edition),2012,7.474,7.71,20798
Alchemists,2014,7.474,7.69,16174
Lorenzo il Magnifico,2016,7.471,7.88,7024
The Quacks of Quedlinburg,2018,7.466,7.76,11181
Star Realms,2014,7.462,7.6,31541
